ra,dec,sy_name,hostname,sy_snum,sy_pnum,sy_mnum,st_mass,sy_plx
124.5328604,-68.3144658,"L 98-59","L 98-59",1,4,0,0.29,94.1385000
61.4012482,-14.9267458,"TOI-2714","TOI-2714",1,1,0,,1.6437000
353.9524284,0.4433981,"HIP 116454","HIP 116454 B",2,1,0,,15.6558000
191.9815310,9.7494181,"GJ 486","GJ 486",1,1,0,,123.8210000
124.5328604,-68.3144658,"L 98-59","L 98-59",1,4,0,,94.1385000
311.2911369,-31.3424500,"AU Mic","AU Mic",1,3,0,,102.8290000
207.5260010,-40.8358961,"HIP 67522","HIP 67522",1,2,0,1.22,7.8288000
191.9815310,9.7494181,"GJ 486","GJ 486",1,1,0,0.33,123.8210000
191.9815310,9.7494181,"GJ 486","GJ 486",1,1,0,,123.8210000
124.5328604,-68.3144658,"L 98-59","L 98-59",1,4,0,0.27,94.1385000
353.9543517,0.4447043,"HIP 116454","HIP 116454",2,1,0,,15.9843000
311.2911369,-31.3424500,"AU Mic","AU Mic",1,3,0,0.51,102.8290000
124.5328604,-68.3144658,"L 98-59","L 98-59",1,4,0,,94.1385000
289.4346668,49.4734550,"Kepler-426","Kepler-426",1,1,0,0.98,1.1565600
26.2324076,20.0826974,"HD 10697","HD 10697",1,1,0,,30.1639000
288.4474035,44.8017616,"Kepler-330","Kepler-330",1,2,0,,1.3652700
292.8729292,41.0641727,"Kepler-45","Kepler-45",1,1,0,,2.5903900
290.2481023,44.4352935,"Kepler-1013","Kepler-1013",1,1,0,0.81,2.3394900
262.5448903,-51.6377777,"GJ 676","GJ 676 A",2,4,0,,62.3650000
,,"HATS-37","HATS-37 B",2,1,0,0.65,
289.3520595,46.9736345,"Kepler-1022","Kepler-1022",1,1,0,,2.3523400
289.3520595,46.9736345,"Kepler-1022","Kepler-1022",1,1,0,0.61,2.3523400
272.0192570,-29.7315826,"MOA-2013-BLG-605L","MOA-2013-BLG-605L",1,1,0,0.02,
114.2833819,-32.7554188,"HATS-55","HATS-55",1,1,0,,1.6110400
295.8940373,42.3805156,"Kepler-397","Kepler-397",1,2,0,0.78,
282.6998783,45.4257884,"Kepler-1408","Kepler-1408",1,1,0,1.07,1.8403400
289.0009451,45.1542968,"Kepler-650","Kepler-650",1,1,0,,
301.5785316,44.3121639,"Kepler-1705","Kepler-1705",1,2,0,0.84,0.5849030
288.0674450,42.3553050,"Kepler-477","Kepler-477",2,1,0,,
293.5920614,41.0950891,"Kepler-636","Kepler-636",2,1,0,,
270.0964583,-28.6311389,"OGLE-2019-BLG-1492L","OGLE-2019-BLG-1492L",1,1,0,0.68,
266.8830570,-24.5226669,"OGLE-2017-BLG-1140L","OGLE-2017-BLG-1140L",1,1,0,0.21,
289.1926026,44.1493165,"Kepler-1010","Kepler-1010",1,1,0,0.86,1.6976500
297.0588033,49.4784362,"Kepler-1964","Kepler-1964",1,1,0,0.75,
286.9453381,43.8228023,"Kepler-1456","Kepler-1456",1,1,0,0.59,2.6719200
289.6785786,40.2496475,"Kepler-1896","Kepler-1896",1,1,0,1.08,0.5485790
129.3183310,-41.3184231,"HD 73526","HD 73526",1,2,0,1.14,10.2551000
233.8173564,53.9221505,"HD 139357","HD 139357",1,1,0,1.35,8.8929900
291.1593939,51.3348228,"Kepler-620","Kepler-620",1,1,0,0.93,0.7091440
297.4771158,39.8772345,"Kepler-1154","Kepler-1154",1,2,0,,0.6566970
281.0491988,43.3225996,"Kepler-1872","Kepler-1872",1,1,0,0.91,1.1620300
297.1992577,41.2264404,"Kepler-1889","Kepler-1889",1,1,0,1.12,0.6898730
299.7854426,43.6707235,"Kepler-1091","Kepler-1091",1,1,0,,1.0654200
294.2657519,49.3140933,"Kepler-671","Kepler-671",1,1,0,0.93,0.8278590
264.1041731,68.3336741,"GJ 687","GJ 687",1,2,0,,219.7810000
295.1637592,43.9630716,"Kepler-476","Kepler-476",1,1,0,0.95,
287.1305782,42.3501533,"Kepler-491","Kepler-491",1,1,0,,1.5565300
283.5653603,46.9042278,"Kepler-1361","Kepler-1361",1,1,0,0.76,2.5408600
283.2125621,45.3496992,"Kepler-62","Kepler-62",1,5,0,0.64,3.2947400
285.2919300,41.2557275,"Kepler-1849","Kepler-1849",1,1,0,0.69,1.5542300
354.9078642,-72.7253271,"HD 222237","HD 222237",1,1,0,0.48,87.3306000
354.9078642,-72.7253271,"HD 222237","HD 222237",1,1,0,,87.3306000
354.9078642,-72.7253271,"HD 222237","HD 222237",1,1,0,0.76,87.3306000
354.9078642,-72.7253271,"HD 222237","HD 222237",1,1,0,,87.3306000
354.9078642,-72.7253271,"HD 222237","HD 222237",1,1,0,0.74,87.3306000
354.9078642,-72.7253271,"HD 222237","HD 222237",1,1,0,0.74,87.3306000
354.9078642,-72.7253271,"HD 222237","HD 222237",1,1,0,0.76,87.3306000
354.9078642,-72.7253271,"HD 222237","HD 222237",1,1,0,,87.3306000
354.9078642,-72.7253271,"HD 222237","HD 222237",1,1,0,,87.3306000
354.9078642,-72.7253271,"HD 222237","HD 222237",1,1,0,,87.3306000
291.8713535,44.0873907,"Kepler-1100","Kepler-1100",1,1,0,1.10,1.4129700
290.8490899,48.4159782,"Kepler-619","Kepler-619",1,3,0,1.07,1.0816200
294.2657519,49.3140933,"Kepler-671","Kepler-671",1,1,0,0.91,0.8278590
293.7968548,45.1607261,"Kepler-1993","Kepler-1993",1,1,0,,0.9404160
227.6847587,-61.4223747,"HD 134060","HD 134060",1,2,0,1.09,41.6160000
294.9589285,38.5915968,"Kepler-1171","Kepler-1171",1,1,0,1.65,1.7171000
299.8211502,43.8142793,"Kepler-462","Kepler-462",1,2,0,1.97,1.6479800
288.3278778,47.3815380,"Kepler-656","Kepler-656",1,2,0,,1.0947200
292.9712801,41.0357494,"Kepler-1312","Kepler-1312",1,2,0,,3.3146600
294.5285970,46.6408737,"Kepler-1321","Kepler-1321",1,3,0,0.59,1.2752800
293.4548441,44.7927823,"Kepler-724","Kepler-724",1,1,0,0.91,1.1439900
286.5580128,38.4052418,"Kepler-967","Kepler-967",1,2,0,,
295.5594278,40.2362490,"Kepler-199","Kepler-199",1,2,0,,1.8904000
300.3440482,45.6231826,"Kepler-1360","Kepler-1360",1,1,0,1.10,0.6309320
15.5518893,-61.7561333,"HATS-71","HATS-71",1,1,0,,7.1028600
291.1118647,39.9490248,"Kepler-122","Kepler-122",1,5,0,1.03,0.9446640
290.8332412,38.1841851,"Kepler-489","Kepler-489",1,1,0,,2.6764800
284.9219608,45.9723265,"Kepler-504","Kepler-504",2,1,0,0.39,10.0652000
294.7698250,39.3984081,"Kepler-825","Kepler-825",1,2,0,,1.2093100
259.9639522,-48.5502313,"HD 156411","HD 156411",1,1,0,,17.5567000
294.4335228,38.3554729,"Kepler-418","Kepler-418",1,2,0,,0.9690690
294.3363936,44.9182296,"Kepler-1396","Kepler-1396",1,1,0,1.11,0.9090950
283.1846044,47.1557114,"Kepler-765","Kepler-765",1,1,0,0.94,0.9003020
294.7094688,45.9695533,"Kepler-1096","Kepler-1096",1,1,0,0.70,2.6172000
171.6857105,3.0138783,"HD 99492","HIP 55846",2,2,0,,54.9177000
287.1406177,47.1151153,"Kepler-334","Kepler-334",1,3,0,,2.3155500
294.2944830,50.7253850,"Kepler-1343","Kepler-1343",1,1,0,1.07,0.5404010
292.2399069,48.5115214,"Kepler-1813","Kepler-1813",1,1,0,,
295.4293220,39.8865068,"Kepler-1625","Kepler-1625",1,1,0,,0.4064500
168.9810458,-57.5425629,"GJ 422","GJ 422",1,1,0,0.36,78.9409000
289.3520595,46.9736345,"Kepler-1022","Kepler-1022",1,1,0,,2.3523400
298.6634624,43.8940593,"Kepler-1416","Kepler-1416",1,1,0,,1.0245700
286.0790779,39.2782370,"Kepler-235","Kepler-235",1,4,0,0.51,2.3081800
281.6629579,47.5685927,"Kepler-1043","Kepler-1043",1,1,0,1.04,1.0782800
296.2645118,39.4059745,"Kepler-1886","Kepler-1886",1,1,0,0.92,0.9166920
295.1640095,39.2014024,"Kepler-1801","Kepler-1801",1,2,0,0.94,1.1630800
294.5177291,50.6703927,"Kepler-1123","Kepler-1123",1,1,0,,1.3911600
254.5363221,25.7419719,"GJ 649","GJ 649",1,1,0,,96.3141000
298.7351131,40.7641262,"Kepler-1309","Kepler-1309",1,1,0,0.85,
293.1234493,40.9348005,"Kepler-598","Kepler-598",1,2,0,0.90,1.4398000
293.6230451,47.9619127,"Kepler-1594","Kepler-1594",1,1,0,,0.9952270
293.8901979,42.5279413,"Kepler-208","Kepler-208",1,4,0,,1.2610200
298.3848866,46.2759867,"Kepler-614","Kepler-614",1,1,0,0.85,1.8653400
240.4810052,-21.9804920,"HIP 78530","HIP 78530",1,1,0,2.50,7.2847700
295.8215678,46.0530562,"Kepler-1315","Kepler-1315",1,2,0,0.67,2.0510400
295.3081524,43.0444026,"Kepler-1145","Kepler-1145",1,1,0,0.74,1.4171100
294.5335974,46.6182365,"Kepler-1247","Kepler-1247",1,1,0,,0.9286400
266.0361585,-51.8348751,"HD 160691","HD 160691",1,4,0,,64.0817000
289.7805393,49.8965624,"Kepler-154","Kepler-154",1,5,0,,1.0639600
297.8423073,46.5743595,"Kepler-32","Kepler-32",1,5,0,,3.0594800
292.6583919,49.8651522,"Kepler-1431","Kepler-1431",1,1,0,1.05,0.5871910
11.1722288,20.4483925,"HD 4203","HD 4203",1,2,0,,12.2595000
283.1296399,43.8880983,"Kepler-892","Kepler-892",1,1,0,,1.7240400
290.3581592,44.5187225,"Kepler-498","Kepler-498",1,1,0,,1.0364400
291.5791562,38.0358066,"Kepler-767","Kepler-767",1,1,0,,0.4160480
283.4781717,43.3837235,"Kepler-876","Kepler-876",1,1,0,0.84,1.1900000
290.8704935,38.2735978,"Kepler-684","Kepler-684",1,1,0,,0.5495750
286.0363025,49.6145027,"Kepler-407","Kepler-407",1,2,0,0.96,2.9266200
283.0228527,47.2611431,"Kepler-549","Kepler-549",1,3,0,0.85,1.5456700
290.5663221,40.6920756,"Kepler-545","Kepler-545",1,1,0,,1.1938300
288.9941800,41.6333125,"Kepler-701","Kepler-701",1,1,0,,1.2631700
70.4371079,23.0308544,"2MASS J04414489+2301513","2MASS J04414489+2301513",1,1,0,0.20,
287.0544674,45.1803351,"Kepler-834","Kepler-834",1,1,0,0.69,1.5497800
291.3861294,41.9901394,"Kepler-100","Kepler-100",1,4,0,1.06,3.2537000
287.3327284,46.2034366,"Kepler-651","Kepler-651",1,1,0,,1.9341900
