pl_name,hostname,pl_masse,pl_rade,ra,dec,sy_dist
"PDS 70 b","PDS 70",,,212.0421402,-41.3980405,113.0640000
"PDS 70 c","PDS 70",,,212.0421402,-41.3980405,113.0640000
"TOI-5704 b","TOI-5704",,3.227,169.8248694,44.9890782,89.6370000
"HD 23472 d","HD 23472",0.55000,0.750,55.4590314,-62.7672667,39.0341000
"TOI-672 b","TOI-672",,5.260,167.9908627,-39.3281151,66.9071000
"TOI-199 b","TOI-199",54.03083,9.079,80.1058735,-59.8954326,102.2700000
"TOI-199 c","TOI-199",88.99195,,80.1058735,-59.8954326,102.2700000
"KELT-18 b","KELT-18",375.03940,17.598,216.5238248,59.4442735,321.3760000
"TOI-2096 c","TOI-2096",,1.914,151.6186989,74.8272107,48.4809000
"HD 23472 c","HD 23472",,1.610,55.4590314,-62.7672667,39.0341000
"TOI-3819 b","TOI-3819",,12.927,121.8632568,29.3886446,558.1410000
"Kepler-33 d","Kepler-33",,5.500,289.0775348,46.0051696,1209.1600000
"HIP 5158 b","HIP 5158",,,16.5094891,-22.4536134,51.6026000
"HD 6718 b","HD 6718",,,16.9536005,-8.2336165,51.3444000
"HD 149026 b","HD 149026",,,247.6229827,38.3475349,75.8643000
"HAT-P-2 b","HAT-P-2",,13.258,245.1514324,41.0479601,127.7740000
"TOI-1710 b","TOI-1710",18.40000,5.150,94.2838373,76.2110200,81.2271000
"TOI-4791 b","TOI-4791",,13.011,109.3883818,-19.8289392,328.8020000
"TOI-4201 b","TOI-4201",816.81901,12.666,90.4747237,-13.4613710,189.0110000
"TOI-4137 b","TOI-4137",,13.637,77.6128790,70.3910790,334.9930000
"TOI-4087 b","TOI-4087",232.01474,13.047,217.9257785,83.3727061,301.6760000
"HD 156846 b","HD 156846",,,260.1423366,-19.3343650,47.7332000
"HD 132563 b","HD 132563",,,224.5892892,44.0428571,105.1550000
"HD 137388 b","HD 137388",,,233.9150820,-80.2044169,40.4841000
"WASP-80 b","WASP-80",176.07000,10.671,303.1667996,-2.1444369,49.7876000
"HAT-P-18 b","HAT-P-18",58.16289,,256.3463760,33.0123251,161.4000000
"HD 23127 b","HD 23127",,,54.8491271,-60.0772290,93.8555000
"HD 189733 b","HD 189733",363.58200,12.756,300.1821223,22.7097759,19.7638000
"HD 20794 c","HD 20794",,,49.9997666,-43.0666533,6.0027800
"HD 20794 d","HD 20794",,,49.9997666,-43.0666533,6.0027800
"HD 189733 b","HD 189733",365.50450,12.902,300.1821223,22.7097759,19.7638000
"HAT-P-18 b","HAT-P-18",62.29468,10.615,256.3463760,33.0123251,161.4000000
"WASP-80 b","WASP-80",178.62046,11.052,303.1667996,-2.1444369,49.7876000
"HD 189733 b","HD 189733",,,300.1821223,22.7097759,19.7638000
"HD 189733 b","HD 189733",,,300.1821223,22.7097759,19.7638000
"HD 189733 b","HD 189733",369.30300,13.630,300.1821223,22.7097759,19.7638000
"WASP-80 b","WASP-80",174.80000,10.650,303.1667996,-2.1444369,49.7876000
"HD 189733 b","HD 189733",,,300.1821223,22.7097759,19.7638000
"LHS 1140 b","LHS 1140",6.65000,1.430,11.2486320,-15.2741085,14.9861000
"HD 20794 d","HD 20794",,,49.9997666,-43.0666533,6.0027800
"HD 189733 b","HD 189733",,,300.1821223,22.7097759,19.7638000
"LHS 1140 b","LHS 1140",6.98000,1.727,11.2486320,-15.2741085,14.9861000
"HAT-P-18 b","HAT-P-18",63.56600,11.153,256.3463760,33.0123251,161.4000000
"HD 189733 b","HD 189733",370.58978,12.543,300.1821223,22.7097759,19.7638000
"HD 189733 b","HD 189733",,,300.1821223,22.7097759,19.7638000
"TOI-421 b","TOI-421",7.17000,2.680,81.8532824,-14.2767404,74.7969000
"HD 100655 b","HD 100655",,,173.7653631,20.4415410,137.1780000
"HD 155358 b","HD 155358",,,257.3930947,33.3549277,43.6197000
"HD 79498 b","HD 79498",,,138.7885794,23.3748792,48.9489000
"CHXR 73 b","CHXR 73",3994.48600,,166.6193985,-77.6258725,190.3740000
"HD 13189 b","HD 13189",,,32.4173964,32.3164548,497.8230000
"GJ 433 b","GJ 433",,,173.8619194,-32.5436302,9.0645600
"HIP 5158 b","HIP 5158",,,16.5094891,-22.4536134,51.6026000
"alf Ari b","alf Ari",,,31.7932860,23.4624210,20.2101900
"tau Gem b","tau Gem",,,107.7847232,30.2449545,112.5370000
"HD 62509 b","HD 62509",,,116.3288240,28.0261270,
"Kepler-370 c","Kepler-370",,1.910,292.1710683,40.9162381,1167.9400000
"Kepler-400 b","Kepler-400",,1.650,290.9444679,40.4800528,845.9700000
"Kepler-221 b","Kepler-221",,1.710,296.6547477,46.8352242,385.2310000
"Kepler-367 c","Kepler-367",,1.200,297.2925580,49.9817499,188.0270000
"Kepler-393 c","Kepler-393",,1.330,290.9952050,45.1921880,881.4040000
"Kepler-304 c","Kepler-304",,2.170,294.4418031,40.5575408,434.6840000
"Kepler-360 b","Kepler-360",,1.650,286.2847077,44.7815817,876.0440000
"Kepler-101 c","Kepler-101",,1.330,283.2555070,48.3552474,927.9810000
"Kepler-243 c","Kepler-243",,1.990,285.1104819,42.0339619,693.8600000
"Kepler-261 c","Kepler-261",,2.000,291.3647333,37.6092390,317.4990000
"Kepler-327 d","Kepler-327",,1.730,292.6422963,44.0876251,241.9870000
"Kepler-136 b","Kepler-136",,2.050,296.4673039,42.5987984,420.8180000
"Kepler-122 d","Kepler-122",,2.200,291.1118647,39.9490248,1027.4500000
"Kepler-157 c","Kepler-157",,2.240,291.0972257,38.8756049,773.7130000
"Kepler-147 c","Kepler-147",,2.430,287.9757213,39.0871680,1042.0200000
"Kepler-239 b","Kepler-239",,2.330,294.2020505,40.6633313,648.1090000
"Kepler-200 b","Kepler-200",,2.130,284.4099503,41.2374928,665.9120000
"Kepler-243 b","Kepler-243",,2.450,285.1104819,42.0339619,693.8600000
"Kepler-160 c","Kepler-160",,3.610,287.7735730,42.8692755,937.0130000
"Kepler-254 b","Kepler-254",,3.870,288.1646541,45.8164257,1389.4800000
"Kepler-172 c","Kepler-172",,2.860,283.3684093,41.8218390,828.5920000
"Kepler-299 c","Kepler-299",,2.650,283.2070156,48.5805222,1052.2400000
"Kepler-278 c","Kepler-278",,3.590,290.1072124,38.7022694,443.0300000
"Kepler-339 d","Kepler-339",,1.170,293.3517010,48.4445922,616.6370000
"Kepler-397 b","Kepler-397",,2.460,295.8940373,42.3805156,
"Kepler-399 b","Kepler-399",,0.960,299.5017242,40.6707669,740.5370000
"HD 219415 b","HD 219415",,,348.7243579,56.7303001,165.1840000
"Pr0201 b","Pr0201",,,130.4324005,20.2268164,180.6400000
"HD 207832 b","HD 207832",,,328.1517893,-26.0271749,58.9291000
"HD 207832 c","HD 207832",,,328.1517893,-26.0271749,58.9291000
"HD 145457 b","HD 145457",,,242.5162215,26.7429068,135.2920000
"HD 180314 b","HD 180314",,,288.7094401,31.8604391,122.3620000
"WASP-176 b","WASP-176",271.74465,16.870,313.6872928,9.1790688,568.4200000
"kap CrB b","kap CrB",,,237.8080012,35.6558818,30.0651000
"HD 210702 b","HD 210702",,,332.9638643,16.0404806,54.1963000
"6 Lyn b","6 Lyn",,,97.6960311,58.1611753,54.6599000
"kap CrB b","kap CrB",,,237.8080012,35.6558818,30.0651000
"HD 167042 b","HD 167042",,,272.6326268,54.2876184,49.6633000
"nu Oph b","nu Oph",,,269.7566013,-9.7741342,46.2107000
"75 Cet b","75 Cet",,,38.0391598,-1.0350269,82.9613000
"omi UMa b","omi UMa",,,127.5649503,60.7177048,54.9149000
"HD 4732 b","HD 4732",,,12.3085089,-24.1369079,54.7841000
"HD 99492 b","HD 99492",,,171.6896870,3.0071331,18.2038000
"TOI-1937 A b","TOI-1937 A",,14.666,116.3707214,-52.3832587,415.1350000
"HAT-P-2 b","HAT-P-2",2866.81223,,245.1514324,41.0479601,127.7740000
"TrES-5 b","TrES-5",,,305.2219454,59.4489033,360.3130000
"HAT-P-53 b","HAT-P-53",,,21.8711012,38.9681137,666.8020000
"TOI-1710 b","TOI-1710",,5.212,94.2838373,76.2110200,81.2271000
"TOI-3235 b","TOI-3235",,11.014,207.4738488,-46.0665139,72.8110000
"HAT-P-2 b","HAT-P-2",2888.95000,12.969,245.1514324,41.0479601,127.7740000
"TOI-3235 b","TOI-3235",211.35589,11.400,207.4738488,-46.0665139,72.8110000
"TOI-4308 b","TOI-4308",,2.451,327.7530693,-43.5623642,108.9320000
"NGTS-17 b","NGTS-17",242.82090,13.899,72.9005729,-34.2262128,1040.2800000
"TOI-1135 b","TOI-1135",51.42000,9.020,193.3963704,85.1294952,114.0480000
